Planilha Ofícios Enviados;;;;;;;
;;;;;;;
Nº do Ofício;Destinatário;Solicitação;Status;Previsão;;;
72;Sec. Trânsito;quebra mola Praça Carlos José de Moura, localizada no Bairro Sibipiruna;;;;;
73;Sec. Infraestrutura;tapa buraco na Rua dos Angicos Bairro São Sebastião;Atendido;;;;
74;Sec. Infraestrutura;tapa buraco na Rua Professora Maria Aparecida Costa esquina com Belchior de Godoy Bairro Goiás;Atendido;;;;
75;Sec. Trânsito;revitalização da sinalização de trânsito nas ruas do Bairro Sibipiruna;Através de resposta de ofício estão aguardando a disponibilidade do serviço pela empresa contratada.;;;;
76;FAEC;Ônibus integrantes da Igreja Assembleia de Deus Ministério Vila Nova;Negado;;;;
77;FAMEP;Ônibus integrantes da Igreja Assembleia de Deus Ministério Vila Nova;Negado;;;;
78;Sec. Serviços Urbanos;limpeza Rua Raul Campos ao lado nº30 Bairro Sibipiruna;Atendido;;;;
79;Sec. Administração;Instalação Wi-Fi Sine;;;;;
80;Sec. Administração;Instalação bebedouro e manutenção telefone fixo;;;;;
81;Sec. Serviços Urbanos;Notificação terreno esquina Condomínio Sibipiruna;;;;;
82;SAE;Vazamento de água Rua Afonso Pena;Atendido;;;;
83;Sec. Infraestrutura;tapa buraco por toda extensão na Rua Professor José Rodrigues de Oliveira Bairro Sibipiruna;Atendido;;;;
84;Sec. Infraestrutura; tapa buraco na Rua da Praça Leonina Resende de Souza Bairro Sibipiruna;Atendido;;;;
85;Sec. Serviços Urbanos;Praça Ilidio Miguel Duarte;Atendido;;;;
86;Secretaria de Segurança Pública;confirmar a presença reunião agendada para o dia 30 de abril de 2025 Secretaria de Segurança Pública;ok;;;;
87;Famep;ônibus integrantes da Igreja Assembleia de Deus Ministério Vila Nova p/dia 17/05;Negado;;;;
88;Faec;ônibus integrantes da Igreja Assembleia de Deus Ministério Vila Nova p/dia 17/05;Negado;;;;
89;Faec;Um ônibus Igreja Universal do Reino de Deus p/dia 18/04;Negado;;;;
90;Famep;Um ônibus Igreja Universal do Reino de Deus p/dia 18/04;Negado;;;;
91;Famep;dois ônibus Igreja Universal do Reino de Deus p/ dia 18/04;Negado;;;;
92;Faec;dois ônibus Igreja Universal do Reino de Deus p/ dia 18/04;Negado;;;;
93;Sec. Infraestrutura;tapa buraco por toda extensão na Rua Professor Walter Fernandes Bairro Sibipiruna;Atendido;;;;
94;Sec. Infraestrutura;tapa buraco por toda extensão na Rua Tapajós Bairro Paraíso;Atendido;;;;
95;Sec. Infraestrutura;tapa buraco por toda extensão na Rua Orlando César Vieira, Bairro São Sebastião;Atendido;;;;
96;Sec. Fazenda;informações relativas à gestão orçamentária e financeira do município.;recebido via ofício;;;;
97;Sec. Ser.Urb/Infra/Trânsito                   Convite reunião Sibipiruna;convite reunião Sibipiruna;Realizado;;;;
98;Sec. Infraestrutura;troca/substituição de lâmpadas queimadas na Praça Carlos José de Moura Bairro Sibipiruna.;Atendido;;;;
